HEADERS: ('map_id', 'theme', 'subtheme', 'title', 'short_name', 'objective', 'key_questions', 'key_indicators', 'study_scale', 'unit_of_analysis', 'classification', 'data_sources', 'data_vintage', 'spatial_layer_type', 'processing_steps', 'symbology_type', 'status', 'owner', 'priority', 'effort', 'dependencies', 'deliverable_format', 'validation_checks', 'risks_limitations')

M00 | Contexte | Cadre | localisation_multiechelles | status=todo | priority=High | effort=S | scale=Multi-échelles | layer_type=Vector | symbology=multi-cadres | unit=polygone + repères | format=Layout PDF
M11 | Forme urbaine | Bâti | etat_vacance_besoins | status=todo | priority=Med | effort=L | scale=Quartier | layer_type=Vector | symbology=gradué / catégories | unit=bâtiment/parcelle | format=Layout PDF + formulaire
M12 | Forme urbaine | Logement | logement_typologies | status=todo | priority=Med | effort=M | scale=Quartier | layer_type=Vector | symbology=catégoriel | unit=bâtiment | format=Layout PDF
M13 | Forme urbaine | Logement | logement_tenure_mixite | status=todo | priority=High | effort=M | scale=Quartier | layer_type=Vector | symbology=choroplèthe + symboles | unit=DA (tenure) + bâtiment (mixité) | format=Layout PDF
M14 | Patrimoine | Inventaire | patrimoine_bati_inventaire | status=todo | priority=High | effort=M | scale=Quartier | layer_type=Vector | symbology=points/polygones catégoriels | unit=bâtiment/point | format=Layout PDF + webmap
M15 | Patrimoine | Identité | paysage_identite_culturelle | status=todo | priority=Med | effort=M | scale=Quartier | layer_type=Vector | symbology=polygones + densité | unit=îlot/secteur | format=Layout PDF
M16 | Patrimoine | Histoire | lieux_historiques_present_disparu | status=todo | priority=Low | effort=M | scale=Quartier | layer_type=Vector | symbology=points catégoriels | unit=points/polygones | format=Layout PDF + annexe
M17 | Patrimoine | Histoire | cartes_anciennes_evolution | status=todo | priority=Low | effort=L | scale=Multi-époques | layer_type=Raster | symbology=série carto | unit=raster/plan | format=Layout PDF
M18 | Patrimoine | Religieux | lieux_de_culte_etat_usage | status=todo | priority=Low | effort=M | scale=Quartier | layer_type=Vector | symbology=points symboles | unit=points | format=Layout PDF
M19 | Population | Base | population_densite_DA | status=todo | priority=High | effort=S | scale=Quartier + comparaison | layer_type=Vector | symbology=choroplèthe (gradué) | unit=DA | format=Layout PDF + graphique
M20 | Population | Âges | structure_age | status=todo | priority=High | effort=S | scale=Quartier + comparaison | layer_type=Vector | symbology=choroplèthe | unit=DA | format=Layout PDF
M21 | Population | Diversité | immigration_minorites | status=todo | priority=Med | effort=S | scale=Quartier + comparaison | layer_type=Vector | symbology=choroplèthe | unit=DA | format=Layout PDF
M22 | Population | Langues | langues_principales | status=todo | priority=Med | effort=S | scale=Quartier + comparaison | layer_type=Vector | symbology=choroplèthe | unit=DA | format=Layout PDF
M23 | Population | Scolarité | niveau_etudes | status=todo | priority=Med | effort=S | scale=Quartier + comparaison | layer_type=Vector | symbology=choroplèthe | unit=DA | format=Layout PDF
M24 | Population | Revenus | revenu_faible_revenu | status=todo | priority=High | effort=M | scale=Quartier + comparaison | layer_type=Vector | symbology=choroplèthe | unit=DA | format=Layout PDF + graphique
M25 | Population | Logement | loyer_median_pression | status=todo | priority=High | effort=S | scale=Quartier + comparaison | layer_type=Vector | symbology=choroplèthe | unit=DA | format=Layout PDF
M26 | Population | Emploi | emploi_chomage | status=todo | priority=Med | effort=M | scale=Quartier + comparaison | layer_type=Vector | symbology=choroplèthe + graphique | unit=DA | format=Layout PDF + graphique
M27 | Économie | Commerces | commerces_typologie_concentrations | status=partial | priority=High | effort=M | scale=Quartier | layer_type=Vector | symbology=points + densité | unit=points + sous-secteurs | format=Layout PDF + annexe photos
M28 | Économie | Commerces | nb_commerces_par_secteur | status=todo | priority=Med | effort=S | scale=Quartier | layer_type=Vector | symbology=choroplèthe (gradué) | unit=sous-secteur | format=Layout PDF + tableau
M29 | Économie | Emplois | emplois_poles_intensite | status=todo | priority=Low | effort=L | scale=Quartier + comparaison | layer_type=Vector | symbology=choroplèthe/heatmap | unit=îlot/zone | format=Layout PDF
M30 | Économie | Commerces | rotation_commerces_temporel | status=todo | priority=Low | effort=L | scale=Quartier | layer_type=Vector | symbology=carte + timeline | unit=point + temps | format=Layout PDF + graphique
M31 | Économie | Foncier | loyers_commerciaux | status=todo | priority=Low | effort=L | scale=Quartier | layer_type=Vector/Table | symbology=points/choroplèthe | unit=segments/immeubles | format=Graphique + (si possible) carte
M32 | Économie | Foncier | valeurs_foncieres_proxy | status=todo | priority=Low | effort=L | scale=Quartier | layer_type=Vector | symbology=choroplèthe | unit=parcelle | format=Layout PDF
M33 | Économie | Tourisme | location_courte_duree | status=todo | priority=Low | effort=M | scale=Quartier | layer_type=Vector | symbology=points + densité | unit=points/îlots | format=Layout PDF
M34 | Économie | Acteurs | acteurs_fonciers | status=todo | priority=Low | effort=L | scale=Quartier | layer_type=Vector/Table | symbology=choroplèthe + tableau | unit=parcelle | format=Tableau + carte
M35 | Mobilité | TC | tc_lignes_arrets | status=have | priority=High | effort=M | scale=Quartier + zone influence | layer_type=Network/Vector | symbology=réseau + points | unit=arrêts + lignes | format=Layout PDF
M36 | Mobilité | Active | reseau_actif_bikeshare | status=have | priority=High | effort=M | scale=Quartier | layer_type=Vector | symbology=réseau + points | unit=segments + points | format=Layout PDF
M37 | Mobilité | Voirie | hierarchie_voirie | status=todo | priority=High | effort=L | scale=Quartier | layer_type=Vector | symbology=réseau catégoriel | unit=segments | format=Layout PDF
M38 | Mobilité | Piéton | marchabilite_qualite_pietonne | status=todo | priority=Med | effort=L | scale=Quartier | layer_type=Vector | symbology=gradué + annotations | unit=segments/points | format=Layout PDF + annexe
M39 | Mobilité | Stationnement | stationnement_offre_usage | status=have | priority=Med | effort=M | scale=Quartier | layer_type=Vector | symbology=points/polygones | unit=points/polygones | format=Layout PDF
M40 | Mobilité | Autopartage | autopartage_couverture | status=todo | priority=Med | effort=M | scale=Quartier + zone influence | layer_type=Vector | symbology=points | unit=points | format=Layout PDF
M41 | Mobilité | Accessibilité | accessibilite_isochrones | status=todo | priority=High | effort=L | scale=Quartier + zone influence | layer_type=Network/Raster | symbology=isochrones | unit=raster/polygones | format=Layout PDF
M42 | Mobilité | Sécurité | collisions_points_chauds | status=todo | priority=High | effort=M | scale=Quartier + buffer | layer_type=Vector | symbology=points + heatmap | unit=points/segments | format=Layout PDF
M43 | Mobilité | Flux | flux_achalandage | status=todo | priority=Med | effort=L | scale=Quartier | layer_type=Vector/Table | symbology=gradué + graphiques | unit=segments/points + temps | format=Graphiques + carte
M44 | Environnement | Végétation | verts_arbres_canopée_10m | status=have | priority=High | effort=M | scale=Quartier | layer_type=Raster/Vector | symbology=choroplèthe + points | unit=raster + points | format=Layout PDF
M45 | Environnement | Végétation | canopée_precise_esker | status=todo | priority=Med | effort=M | scale=Quartier | layer_type=Raster | symbology=choroplèthe (gradué) | unit=raster | format=Layout PDF
M46 | Environnement | Chaleur | ilots_chaleur_fraicheur | status=have | priority=High | effort=M | scale=Quartier | layer_type=Raster/Vector | symbology=raster + points | unit=raster + points | format=Layout PDF
M47 | Environnement | Espace public | espaces_publics_qualite | status=todo | priority=Med | effort=L | scale=Quartier | layer_type=Vector | symbology=gradué/catégoriel | unit=polygones/points | format=Layout PDF + annexe
M48 | Environnement | Eaux pluviales | gestion_eaux_pluviales | status=todo | priority=Low | effort=L | scale=Quartier | layer_type=Raster/Vector | symbology=choroplèthe + symboles | unit=raster/polygones | format=Layout PDF
M49 | Environnement | Risques | inondation_bassin_versant | status=todo | priority=Low | effort=S | scale=Secteur élargi | layer_type=Vector | symbology=polygones | unit=polygones | format=Encadré carte/annexe
M50 | Environnement | Risques | autres_risques_naturels | status=todo | priority=Low | effort=S | scale=Secteur élargi | layer_type=Vector/Raster | symbology=variable | unit=variable | format=Annexe
M51 | Environnement | Climat | precipitations_graphiques | status=todo | priority=Med | effort=M | scale=Ville / station | layer_type=Table | symbology=graphiques | unit=série temporelle | format=Graphiques (PDF)
M52 | Environnement | Friche | espaces_vacants_friches | status=todo | priority=Med | effort=M | scale=Quartier | layer_type=Vector | symbology=catégoriel | unit=parcelle/bâtiment | format=Layout PDF
M53 | Services | Offre | services_sociaux_repartition | status=todo | priority=Med | effort=M | scale=Quartier + zone influence | layer_type=Vector | symbology=points + buffers/isochrones | unit=points + isochrones | format=Layout PDF
M54 | Services | Institutions | ecoles_hopitaux_influence | status=todo | priority=Low | effort=M | scale=Zone influence | layer_type=Vector/Network | symbology=points + isochrones | unit=points + isochrones | format=Layout PDF
M55 | Synthèse | Diagnostic | FFOM_spatialisee | status=todo | priority=High | effort=M | scale=Quartier | layer_type=Vector | symbology=catégoriel + annotations | unit=sites/secteurs | format=Layout PDF
M56 | Synthèse | Scénarios | scenarios_revitalisation_phases | status=todo | priority=High | effort=L | scale=Quartier | layer_type=Vector | symbology=polygones + flèches | unit=secteurs | format=Layouts PDF (série)
